max_vec:
Permutation("edcbaf", 1662.140283777386, 545.7681490296108)
Permutation("bafedc", 1662.1402837534727, 545.7681490266011)
Permutation("eabcdf", 1657.567746275211, 426.9392741843749)
Permutation("bdefac", 1657.567746274217, 426.9392741843647)
Permutation("cbafed", 1655.1079450866214, 545.9369815461854)
Permutation("abcdef", 1655.107945086451, 545.9369815464743)
Permutation("dcbafe", 1655.0921352621847, 545.9373869680308)
Permutation("afedcb", 1655.092135261129, 545.937386968108)
Permutation("eacbdf", 1652.1572960777878, 341.29100094129325)
Permutation("bdfeac", 1652.1572960538108, 341.2910009378153)
Permutation("edbcaf", 1651.76080168002, 385.72497023819255)
Permutation("baefdc", 1651.7608016791137, 385.7249702380063)
Permutation("cefabd", 1650.4184469421505, 426.05067691375024)
Permutation("aedcbf", 1650.4184469362867, 426.0506769133262)
Permutation("dfabce", 1650.402511937007, 426.0493458758428)
Permutation("acdefb", 1650.4025119349444, 426.0493458753324)
Permutation("aecdbf", 1644.7977767291068, 339.7889461953222)
Permutation("ceafbd", 1644.7977767280186, 339.78894619509794)
Permutation("dfbace", 1644.7807453074793, 339.78567594066925)
Permutation("acedfb", 1644.7807453062553, 339.7856759405624)
Permutation("cbfaed", 1644.348914783709, 384.55095056098696)
Permutation("abdcef", 1644.3489147729936, 384.5509505593303)
Permutation("dcabfe", 1644.3321079181637, 384.54870062234625)
Permutation("afdecb", 1644.3321079160667, 384.5487006222218)
Permutation("adcbef", 1609.68523910492, 394.8442532681906)
Permutation("cbefad", 1609.6852390776835, 394.8442532608209)
Permutation("dabcfe", 1609.6805154400313, 394.843444680191)
Permutation("adefcb", 1609.6805154398776, 394.84344468029946)
Permutation("ebcdaf", 1605.95626418301, 394.3215012587443)
Permutation("befadc", 1605.9562641723405, 394.3215012582573)
Permutation("edabcf", 1605.9435296410534, 394.3193693146826)
Permutation("badefc", 1605.9435296361626, 394.31936931467607)
Permutation("dcfabe", 1599.4396865771434, 393.2882887708352)
Permutation("afcdeb", 1599.439686570584, 393.28828876975325)
Permutation("cfabed", 1599.4222625068574, 393.2859584034375)
Permutation("abedcf", 1599.4222624964273, 393.2859584001235)
Permutation("adcbfe", 1583.313518440078, 371.4539985820157)
Permutation("bcefad", 1583.3135184111745, 371.4539985732709)
Permutation("adefbc", 1583.3102140118665, 371.45340922821276)
Permutation("dabcef", 1583.3102140027586, 371.45340922633955)
Permutation("befacd", 1578.6265802866171, 370.6217364284497)
Permutation("afdcbe", 1578.6265802649725, 370.62173642183734)
Permutation("deabcf", 1578.6130391094712, 370.61941944721843)
Permutation("abdefc", 1578.6130391062886, 370.61941944645355)
