Permutation("baccab", 1767.1156374432878, 391.92474494191555)
Permutation("cabbac", 1767.1149283408065, 391.9256044003211)
Permutation("acbbca", 1764.6097907118121, 391.3098883446708)
Permutation("abccba", 1764.6026446479511, 391.3084076101429)
Permutation("bcaacb", 1754.7153049968988, 389.96194222639167)
Permutation("cbaabc", 1754.6824004841556, 389.95932632107474)
Permutation("cabbca", 1744.0843522314235, 340.8751271710103)
Permutation("acbbac", 1744.08435222271, 340.8751271693668)
Permutation("baccba", 1744.076543947262, 340.87323596762855)
Permutation("abccab", 1744.0765439385323, 340.8732359659852)
Permutation("cbaacb", 1730.5542669195036, 338.4359475775643)
Permutation("bcaabc", 1730.5542669192132, 338.4359475775653)
Permutation("bacacb", 1116.7978463261281, 272.2602565195144)
Permutation("bcacab", 1116.797846317114, 272.2602565183434)
Permutation("cababc", 1116.7917512350093, 272.2588884974193)
Permutation("cbabac", 1116.7917512259942, 272.2588884962482)
Permutation("acbcba", 1108.4195469882782, 270.9271162442193)
Permutation("abcbca", 1108.419546987437, 270.92711624421906)
Permutation("abcacb", 889.3556922586882, 216.68403868998476)
Permutation("bcacba", 889.3556922154281, 216.68403867990546)
Permutation("acbabc", 889.3518752415863, 216.68362991222637)
Permutation("cbabca", 889.3518751983265, 216.68362990214544)
Permutation("cbacab", 888.3140823921876, 216.39569987725076)
Permutation("bacabc", 888.3140823725844, 216.39569987282076)
Permutation("bcabac", 888.3079984337353, 216.39483881860286)
Permutation("cabacb", 888.307998414131, 216.39483881417272)
Permutation("cabcba", 883.1143816981838, 216.15117279377037)
Permutation("abcbac", 883.1143816567707, 216.15117278639457)
Permutation("bacbca", 883.1051920160818, 216.1508315636754)
Permutation("acbcab", 883.1051919746699, 216.1508315563)
Permutation("abcabc", 647.5108217478554, 207.7069293349149)
Permutation("cbacba", 647.5108217404153, 207.70692932977764)
Permutation("acbacb", 647.5099822598942, 207.70589647639125)
Permutation("bcabca", 647.5099822524545, 207.7058964712544)
Permutation("cabcab", 644.075344696471, 207.07503044203952)
Permutation("bacbac", 644.0753446921042, 207.07503044203943)
